Date,Open,High,Low,Close,Adj Close,Volume
1975-08-19,11.375000,11.390625,11.109375,11.140625,3.664190,644800
1975-08-20,11.132813,11.132813,11.000000,11.031250,3.628217,1046400
1975-08-21,11.031250,11.171875,11.015625,11.093750,3.648774,889600
1975-08-22,11.109375,11.265625,11.109375,11.265625,3.705305,712000
1975-08-25,11.265625,11.375000,11.250000,11.375000,3.741281,740800
1975-08-26,11.359375,11.359375,11.140625,11.140625,3.664190,552000
1975-08-27,11.140625,11.312500,11.140625,11.312500,3.720719,692800
1975-08-28,11.343750,11.656250,11.343750,11.640625,3.828642,948800
1975-08-29,11.640625,11.718750,11.609375,11.640625,3.828642,836800
1975-09-02,11.640625,11.656250,11.296875,11.328125,3.725857,609600
1975-09-03,11.328125,11.421875,11.226563,11.421875,3.756698,800000
1975-09-04,11.421875,11.484375,11.343750,11.375000,3.741281,774400
1975-09-05,11.375000,11.375000,11.234375,11.250000,3.700165,644800
1975-09-08,11.250000,11.468750,11.218750,11.468750,3.772111,510400
1975-09-09,11.468750,11.617188,11.187500,11.187500,3.679610,1116800
1975-09-10,11.187500,11.296875,11.101563,11.250000,3.700165,964800
1975-09-11,11.250000,11.421875,11.218750,11.328125,3.725857,915200
1975-09-12,11.328125,11.437500,11.187500,11.250000,3.700165,928000
1975-09-15,11.250000,11.250000,11.125000,11.242188,3.697598,440000
1975-09-16,11.242188,11.265625,11.109375,11.132813,3.661621,689600
1975-09-17,11.164063,11.289063,11.164063,11.234375,3.695025,497600
1975-09-18,11.250000,11.656250,11.250000,11.640625,3.828642,976000
1975-09-19,11.640625,11.875000,11.609375,11.828125,3.890313,1520000
1975-09-22,11.828125,11.890625,11.625000,11.656250,3.833784,985600
1975-09-23,11.656250,11.796875,11.593750,11.781250,3.874894,1043200
1975-09-24,11.906250,12.078125,11.906250,11.937500,3.926288,1451200
1975-09-25,11.937500,12.062500,11.875000,12.000000,3.946844,902400
1975-09-26,12.007813,12.265625,12.007813,12.250000,4.029069,860800
1975-09-29,12.187500,12.187500,11.921875,11.921875,3.921151,1056000
1975-09-30,11.921875,11.937500,11.750000,11.765625,3.869756,937600
1975-10-01,11.765625,11.859375,11.453125,11.460938,3.769544,1124800
1975-10-02,11.484375,11.796875,11.484375,11.796875,3.880034,920000
1975-10-03,11.812500,12.218750,11.812500,12.203125,4.013652,1441600
1975-10-06,12.507813,12.718750,12.507813,12.562500,4.131854,2494400
1975-10-07,12.562500,12.648438,12.343750,12.578125,4.136991,1718400
1975-10-08,12.578125,12.921875,12.562500,12.875000,4.234636,1624000
1975-10-09,12.875000,13.078125,12.796875,12.828125,4.219220,2057600
1975-10-10,12.828125,12.937500,12.734375,12.875000,4.234636,1182400
1975-10-13,12.875000,13.156250,12.828125,13.156250,4.327137,947200
1975-10-14,13.156250,13.312500,13.000000,13.031250,4.286027,1566400
1975-10-15,13.031250,13.125000,12.968750,13.046875,4.291164,1136000
1975-10-16,13.046875,13.281250,13.039063,13.085938,4.304013,1300800
1975-10-17,13.085938,13.156250,12.953125,12.953125,4.260327,912000
1975-10-20,13.000000,13.242188,13.000000,13.218750,4.347692,912000
1975-10-21,13.281250,13.421875,13.281250,13.304688,4.375960,1652800
1975-10-22,13.304688,13.359375,13.140625,13.328125,4.383671,1121600
1975-10-23,13.328125,13.484375,13.250000,13.460938,4.427351,1236800
1975-10-24,13.421875,13.421875,13.062500,13.062500,4.296305,1649600
1975-10-27,13.062500,13.234375,13.046875,13.195313,4.339985,1307200
1975-10-28,13.242188,13.468750,13.242188,13.437500,4.419642,1446400
1975-10-29,13.390625,13.390625,13.109375,13.187500,4.337419,1713600
1975-10-30,13.187500,13.343750,13.156250,13.195313,4.339985,1214400
1975-10-31,13.195313,13.296875,13.156250,13.265625,4.363116,731200
1975-11-03,13.265625,13.296875,13.187500,13.203125,4.342556,496000
1975-11-04,13.226563,13.390625,13.226563,13.343750,4.388808,787200
1975-11-05,13.343750,13.562500,13.328125,13.484375,4.471714,1652800
1975-11-06,13.484375,13.625000,13.312500,13.562500,4.497624,1368000
1975-11-07,13.562500,13.601563,13.484375,13.515625,4.482078,1054400
1975-11-10,13.515625,13.554688,13.437500,13.539063,4.489850,524800
1975-11-11,13.562500,13.742188,13.562500,13.734375,4.554617,936000
1975-11-12,13.781250,14.046875,13.781250,14.046875,4.658252,1846400
1975-11-13,14.046875,14.062500,13.812500,13.835938,4.588298,1632000
1975-11-14,13.835938,13.953125,13.796875,13.906250,4.611618,963200
1975-11-17,13.945313,14.078125,13.945313,14.062500,4.663433,961600
1975-11-18,14.062500,14.109375,13.757813,13.773438,4.567575,1092800
1975-11-19,13.773438,13.796875,13.593750,13.718750,4.549438,1208000
1975-11-20,13.726563,13.875000,13.726563,13.812500,4.580527,867200
1975-11-21,13.812500,13.921875,13.781250,13.859375,4.596072,948800
1975-11-24,13.859375,13.929688,13.781250,13.890625,4.606436,728000
1975-11-25,13.890625,14.078125,13.882813,14.039063,4.655660,1166400
1975-11-26,14.039063,14.125000,13.984375,14.062500,4.663433,1012800
1975-11-28,14.062500,14.156250,14.031250,14.148438,4.691933,774400
1975-12-01,14.148438,14.203125,14.000000,14.007813,4.645299,1000000
1975-12-02,14.007813,14.015625,13.789063,13.796875,4.575349,1048000
1975-12-03,13.726563,13.726563,13.562500,13.687500,4.539076,1865600
1975-12-04,13.687500,13.757813,13.578125,13.757813,4.562390,1350400
1975-12-05,13.757813,13.789063,13.414063,13.414063,4.448399,1203200
1975-12-08,13.414063,13.562500,13.375000,13.437500,4.456169,1379200
1975-12-09,13.437500,13.492188,13.156250,13.492188,4.474305,912000
1975-12-10,13.492188,13.625000,13.437500,13.593750,4.507985,731200
1975-12-11,13.593750,13.609375,13.421875,13.421875,4.450989,993600
1975-12-12,13.421875,13.484375,13.390625,13.476563,4.469123,654400
1975-12-15,13.476563,13.554688,13.437500,13.546875,4.492442,662400
1975-12-16,13.546875,13.742188,13.546875,13.742188,4.557211,1075200
1975-12-17,13.742188,13.796875,13.656250,13.734375,4.554617,902400
1975-12-18,13.734375,13.843750,13.687500,13.718750,4.549438,1052800
1975-12-19,13.718750,13.742188,12.984375,13.609375,4.513168,803200
1975-12-22,13.609375,13.625000,13.492188,13.500000,4.476896,625600
1975-12-23,13.515625,13.796875,13.515625,13.750000,4.559801,1068800
1975-12-24,13.820313,13.968750,13.820313,13.953125,4.627163,286400
1975-12-26,13.835938,13.968750,13.820313,13.953125,4.627163,286400
1975-12-29,13.953125,14.039063,13.890625,13.906250,4.611618,731200
1975-12-30,13.906250,13.968750,13.843750,13.953125,4.627163,688000
1975-12-31,13.968750,14.078125,13.968750,14.015625,4.647892,763200
1976-01-02,14.015625,14.156250,13.960938,14.156250,4.694522,700800
1976-01-05,14.156250,14.375000,14.140625,14.375000,4.767065,1420800
1976-01-06,14.375000,14.429688,14.312500,14.335938,4.754112,1888000
1976-01-07,14.335938,14.437500,14.273438,14.281250,4.735973,2033600
1976-01-08,14.281250,14.421875,14.281250,14.398438,4.774838,2182400
1976-01-09,14.398438,14.484375,14.375000,14.453125,4.792972,1483200
1976-01-12,14.453125,14.765625,14.382813,14.734375,4.886242,1977600
1976-01-13,14.734375,14.898438,14.609375,14.640625,4.855153,2401600
1976-01-14,14.640625,15.078125,14.640625,15.078125,5.000236,1811200
1976-01-15,15.078125,15.179688,14.937500,14.976563,4.966558,2300800
1976-01-16,14.976563,15.171875,14.906250,15.125000,5.015782,1872000
1976-01-19,15.179688,15.625000,15.179688,15.625000,5.181594,1604800
1976-01-20,15.625000,15.812500,15.515625,15.804688,5.241183,2060800
1976-01-21,15.781250,15.781250,15.437500,15.468750,5.129776,2364800
1976-01-22,15.468750,15.687500,15.421875,15.625000,5.181594,1152000
1976-01-23,15.625000,15.968750,15.617188,15.890625,5.269682,1241600
1976-01-26,15.890625,16.000000,15.835938,15.890625,5.269682,1952000
1976-01-27,15.890625,15.937500,15.601563,15.617188,5.179002,1560000
1976-01-28,15.617188,15.765625,15.507813,15.687500,5.202320,1446400
1976-01-29,15.687500,16.062500,15.687500,16.031250,5.316312,1446400
1976-01-30,16.101563,16.234375,16.101563,16.109375,5.342223,1776000
1976-02-02,16.109375,16.203125,16.000000,16.203125,5.373311,1395200
1976-02-03,16.203125,16.328125,16.203125,16.312500,5.409584,1777600
1976-02-04,16.328125,16.531250,16.328125,16.484375,5.466580,1214400
1976-02-05,16.453125,16.453125,16.109375,16.125000,5.383125,1937600
1976-02-06,16.078125,16.078125,15.875000,15.875000,5.299663,2008000
1976-02-09,15.875000,16.109375,15.796875,15.843750,5.289230,1254400
